RELOADED
Key                   Function                      Description
---                   --------                      -----------
Enter                 AcceptLine                    Accept the input or move to the next line if input is missing a closing token.
Shift+Enter           AddLine                       Move the cursor to the next line without attempting to execute the input
Ctrl+Enter            InsertLineAbove               Inserts a new empty line above the current line without attempting to execut...
Ctrl+Shift+Enter      InsertLineBelow               Inserts a new empty line below the current line without attempting to execut...
Escape                RevertLine                    Equivalent to undo all edits (clears the line except lines imported from his...
LeftArrow             BackwardChar                  Move the cursor back one character
RightArrow            ForwardChar                   Move the cursor forward one character
Ctrl+LeftArrow        BackwardWord                  Move the cursor to the beginning of the current or previous word
Ctrl+RightArrow       NextWord                      Move the cursor forward to the start of the next word
Shift+LeftArrow       SelectBackwardChar            Adjust the current selection to include the previous character
Shift+RightArrow      SelectForwardChar             Adjust the current selection to include the next character
Ctrl+Shift+LeftArrow  SelectBackwardWord            Adjust the current selection to include the previous word
Ctrl+Shift+RightArrow SelectNextWord                Adjust the current selection to include the next word
UpArrow               PreviousHistory               Replace the input with the previous item in the history
DownArrow             NextHistory                   Replace the input with the next item in the history
Home                  BeginningOfLine               Move the cursor to the beginning of the line
End                   EndOfLine                     Move the cursor to the end of the line
Shift+Home            SelectBackwardsLine           Adjust the current selection to include from the cursor to the end of the line
Shift+End             SelectLine                    Adjust the current selection to include from the cursor to the start of the ...
Delete                DeleteChar                    Delete the character under the cusor
Backspace             BackwardDeleteChar            Delete the charcter before the cursor
Ctrl+Spacebar         MenuComplete                  Complete the input if there is a single completion, otherwise complete the i...
Tab                   TabCompleteNext               Complete the input using the next completion
Shift+Tab             TabCompletePrevious           Complete the input using the previous completion
Ctrl+a                SelectAll                     Select the entire line. Moves the cursor to the end of the line
Ctrl+c                CopyOrCancelLine              Either copy selected text to the clipboard, or if no text is selected, cance...
Ctrl+C                Copy                          Copy selected region to the system clipboard.  If no region is selected, cop...
Ctrl+l                ClearScreen                   Clear the screen and redraw the current line at the top of the screen
Ctrl+r                ReverseSearchHistory          Search history backwards interactively
Ctrl+s                ForwardSearchHistory          Search history forward interactively
Ctrl+v                Paste                         Paste text from the system clipboard
Ctrl+x                Cut                           Delete selected region placing deleted text in the system clipboard
Ctrl+y                Redo                          Redo an undo
Ctrl+z                Undo                          Undo a previous edit
Ctrl+Backspace        BackwardKillWord              Move the text from the start of the current or previous word to the cursor t...
Ctrl+Delete           KillWord                      Move the text from the cursor to the end of the current or next word to the ...
Ctrl+End              ForwardDeleteLine             Delete text from the cursor to the end of the line
Ctrl+Home             BackwardDeleteLine            Delete text from the cursor to the start of the line
Ctrl+]                GotoBrace                     Go to matching brace
Ctrl+Alt+?            ShowKeyBindings               Show all key bindings
Alt+.                 YankLastArg                   Copy the text of the last argument to the input
Alt+0                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+1                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+2                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+3                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+4                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+5                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+6                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+7                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+8                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+9                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+-                 DigitArgument                 Start or accumulate a numeric argument to other functions
Alt+?                 WhatIsKey                     Show the key binding for the next chord entered
Alt+F7                ClearHistory                  Remove all items from the command line history (not PowerShell history)
F3                    CharacterSearch               Read a character and move the cursor to the next occurence of that character
Shift+F3              CharacterSearchBackward       Read a character and move the cursor to the previous occurence of that chara...
F8                    HistorySearchBackward         Search for the previous item in the history that starts with the current inp...
Shift+F8              HistorySearchForward          Search for the next item in the history that starts with the current input -...
PageUp                ScrollDisplayUp               Scroll the display up one screen
PageDown              ScrollDisplayDown             Scroll the display down one screen
Ctrl+PageUp           ScrollDisplayUpLine           Scroll the display up one line
Ctrl+PageDown         ScrollDisplayDownLine         Scroll the display down one line
Unbound               RepeatLastCommand             Repeats the last modification command.
Unbound               ViDigitArgumentInChord        Handles the processing of a number argument after the first key of a chord.
Unbound               ViAcceptLineOrExit            If the line is empty, exit, otherwise accept the line as input.
Unbound               ViInsertLine                  Inserts a new multi-line edit mode line in front of the current line.
Unbound               ViAppendLine                  Appends a new multi-line edit mode line to the current line.
Unbound               ViJoinLines                   Joins the current multi-line edit mode line with the next.
Unbound               ScrollDisplayTop              Scroll the display to the top
Unbound               ScrollDisplayToCursor         Scroll the display to the cursor
Unbound               CaptureScreen                 Allows you to select multiple lines from the console using Shift+UpArrow/Dow...
Unbound               UndoAll                       Undoes all commands for this line.
Unbound               ViEditVisually                Invokes the console compatible editor specified by $env:VISUAL or $env:$EDIT...
Unbound               PasteAfter                    Write the contents of the local clipboard after the cursor.
Unbound               PasteBefore                   Write the contents of the local clipboard before the cursor.
Unbound               ViYankLine                    Place all characters in the current line into the local clipboard.
Unbound               ViYankRight                   Place the character at the cursor into the local clipboard.
Unbound               ViYankLeft                    Place the character to the left of the cursor into the local clipboard.
Unbound               ViYankToEndOfLine             Place all characters at and after the cursor into the local clipboard.
Unbound               ViYankPreviousWord            Place all characters from before the cursor to the beginning of the previous...
Unbound               ViYankNextWord                Place all characters from the cursor to the end of the word, as delimited by...
Unbound               ViYankEndOfWord               Place the characters from the cursor to the end of the next word, as delimit...
Unbound               ViYankEndOfGlob               Place the characters from the cursor to the end of the next white space deli...
Unbound               ViYankBeginningOfLine         Place the characters before the cursor into the local clipboard.
Unbound               ViYankToFirstChar             Place all characters before the cursor and to the 1st non-white space charac...
Unbound               ViYankPercent                 Place all characters between the matching brace and the cursor into the loca...
