
Key                                                                    Action                                                              
---                                                                    ------                                                              
Ctrl+M                                                                 Open new window                                                     
Ctrl+Shift+M or Windows+Alt+N                                          Open small window to create side note                               
Ctrl+Alt+D                                                             Dock the window                                                     
Ctrl+Z                                                                 Undo the last action                                                
Ctrl+Y                                                                 Redo the last action                                                
Ctrl+A                                                                 Select all items on the current page                                
Ctrl+X                                                                 Cut the selected text or item                                       
Ctrl+C                                                                 Copy the selected text or item to the Clipboard                     
Ctrl+V                                                                 Paste the contents of the Clipboard                                 
Home                                                                   Move to the beginning of the line                                   
End                                                                    Move to the end of the line                                         
Left Arrow                                                             Move one character to the left                                      
Right Arrow                                                            Move one character to the right                                     
Ctrl+Left Arrow                                                        Move one word to the left                                           
Ctrl+Right Arrow                                                       Move one word to the right                                          
Backspace                                                              Delete one character to the left                                    
Delete                                                                 Delete one character to the right                                   
Ctrl+Backspace                                                         Delete one word to the left                                         
Ctrl+Delete                                                            Delete one word to the right                                        
Shift+Enter                                                            Insert line break without starting new paragraph                    
F7                                                                     Check spelling                                                      
Shift+F7                                                               Open the thesaurus for selected word                                
Shift+F10                                                              Bring up the context menu                                           
Ctrl+Shift+W                                                           Execute the action suggested                                        
Ctrl+Shift+H or Ctrl+Alt+H                                             Highlight selected text                                             
Ctrl+K                                                                 Insert link                                                         
Ctrl+Shift+C                                                           Copy the formatting of selected text (Format Painter)               
Ctrl+Shift+V                                                           Paste the formatting to selected text (Format Painter)              
Enter                                                                  Open link (cursor in link text)                                     
Ctrl+B                                                                 Apply or remove bold formatting from the selected text              
Ctrl+I                                                                 Apply or remove italic formatting from the selected text            
Ctrl+U                                                                 Apply or remove the underline from the selected text                
Ctrl+Hyphen                                                            Apply or remove strikethrough from the selected text                
Ctrl+Shift+=                                                           Apply or remove superscript formatting from the selected text       
Ctrl+=                                                                 Apply or remove subscript formatting from the selected text         
Ctrl+Period                                                            Apply or remove bulleted list formatting from the selected paragraph
Ctrl+Slash                                                             Apply or remove numbered list formatting from the selected paragraph
Ctrl+Alt+1                                                             Apply Heading 1 style to the current note                           
Ctrl+Alt+2                                                             Apply Heading 2 style to the current note                           
Ctrl+Alt+3                                                             Apply Heading 3 style to the current note                           
Ctrl+Alt+4                                                             Apply Heading 4 style to the current note                           
Ctrl+Alt+5                                                             Apply Heading 5 style to the current note                           
Ctrl+Alt+6                                                             Apply Heading 6 style to the current note                           
Ctrl+Shift+N                                                           Apply the Normal style to the current note                          
Alt+Shift+Right Arrow                                                  Indent paragraph from the left                                      
Alt+Shift+Left Arrow                                                   Remove paragraph indent from the left                               
Ctrl+R                                                                 Right-align the selected paragraph                                  
Ctrl+L                                                                 Left-align the selected paragraph                                   
Ctrl+Shift+>                                                           Increase the font size of selected text                             
Ctrl+Shift+<                                                           Decrease the font size of selected text                             
Ctrl+Shift+N                                                           Clear all formatting applied to the selected text                   
Ctrl+Shift+R                                                           Show or hide rule lines on the current page                         
Alt+N, F                                                               Insert document or file on the current page                         
Alt+N, O                                                               Insert file as printout on the current page                         
Alt+Shift+P                                                            Show or hide document printouts on current page                     
Alt+N, P                                                               Insert picture from file                                            
Alt+N, S                                                               Insert picture from scanner or camera                               
Windows logo key+Shift+S                                               Insert screen clipping (when OneNote Active)                        
Alt+Shift+D                                                            Insert the current date                                             
Alt+Shift+F                                                            Insert the current date and time                                    
Alt+Shift+T                                                            Insert the current time                                             
Shift+Enter                                                            Insert line break                                                   
Alt+=                                                                  Start math equation or convert selected text to math equation       
Ctrl+Alt+E                                                             Insert Euro (???) symbol                                            
Tab                                                                    Create table by adding second column to already typed text          
Tab                                                                    Create another column in table with single row                      
Enter                                                                  Create row at end of table cell,again to finish                     
Ctrl+Enter                                                             Create row below the current row in table                           
Alt+Enter                                                              Create another paragraph in the same cell in table                  
Ctrl+Alt+R                                                             Create column to the right of the current column in table           
Enter                                                                  Create row above (cursor at beginning of row)                       
DEL (press twice)                                                      Delete empty row (cursor at beginning of row)                       
Ctrl+A                                                                 Select all items on page, again to increase scope                   
Shift+End                                                              Select to the end of the line                                       
Shift+Down Arrow                                                       Select the whole line (cursor at beginning of row)                  
Ctrl+Shift+T                                                           Jump to the title of the page and select it                         
Esc                                                                    Cancel the selected outline or page                                 
Alt+Shift+Up Arrow                                                     Move paragraphs up                                                  
Alt+Shift+Down Arrow                                                   Move paragraphs down                                                
Alt+Shift+Left Arrow                                                   Move paragraphs left (decreasing the indent)                        
Alt+Shift+Right Arrow                                                  Move paragraphs right (increasing the indent)                       
Ctrl+Shift+Hyphen                                                      Select the current paragraph and its subordinate paragraphs         
Delete                                                                 Delete the selected note or object                                  
Home                                                                   Move to the beginning of the line                                   
End                                                                    Move to the end of the line                                         
Left Arrow                                                             Move one character to the left                                      
Right Arrow                                                            Move one character to the right                                     
Alt+Left Arrow                                                         Go back to the last page visited                                    
Alt+Right Arrow                                                        Go forward to the next page visited                                 
Ctrl+Alt+P or Ctrl+Alt+S                                               Start playback of selected audio or video recording                 
Ctrl+Alt+Y                                                             Rewind the current audio or video recording by few seconds          
Ctrl+Alt+U                                                             Fast-forward the current audio or video recording by few seconds    
Ctrl+1                                                                 Apply, mark, or clear the To Do tag                                 
Ctrl+2                                                                 Apply or clear the Important tag                                    
Ctrl+3                                                                 Apply or clear the Question tag                                     
Ctrl+4                                                                 Apply or clear the Remember for later tag                           
Ctrl+5                                                                 Apply or clear the Definition tag                                   
Ctrl+6                                                                 Apply or clear custom tag                                           
Ctrl+7                                                                 Apply or clear custom tag                                           
