"Key","Action"
"Alt+F,X","Close"
"Alt+H","Go to Home tab"
"Ctrl+N","New mail message"
"Alt+S","Send"
"Alt+H,AF","Insert file in message"
"Ctrl+Plus(+), Ctrl+Minus(-)","Zoom"
"Ctrl+D","Delete selected item"
"F3 or Ctrl+E","Go to Search box"
"Ctrl+R","Reply"
"Ctrl+F","Forward"
"Ctrl+Shift+R","Reply All"
"F9","Start Send/Receive for folders and groups"
"Ctrl+2","Go to Calendar"
"Alt+H,N1","Create appointment"
"Alt+H,MV. Use Down to select folder.","Move to folder"
"From message that contains attachment, Alt+JA,AA.","Attachment Save As"
"Alt+Up, or","In Reading Pane, go to previous message"
"Ctrl+Comma, or","In Reading Pane, go to previous message"
"Alt+Page Up","In Reading Pane, go to previous message"
"F3 or Ctrl+E","Go to Search box"
"Spacebar","In Reading Pane, page down through text"
"Shift+Spacebar","In Reading Pane, page up through text"
"Ctrl+Shift+Tab, or","Move between regions in,i.e. Folder Pane, main window, Reading Pane, and To-Do Bar"
"Shift+Tab","Move between regions in,i.e. Folder Pane, main window, Reading Pane, and To-Do Bar"
"Tab","Move between regions in,i.e. window, smaller panes in Folder Pane, Reading Pane, and sections in To-Do Bar"
"F6","Move between regions in,i.e. window, smaller panes in Folder Pane, Reading Pane, and sections in To-Do Bar, and show access keys in ribbon"
"Ctrl+Tab","Move around message header lines in Folder Pane or open message"
"Arrow keys","Move around within Folder Pane"
"Ctrl+Y","Go to different folder"
"Left or Right","Collapse or expand group in email message list"
"Ctrl+1","Switch to Mail"
"Ctrl+2","Switch to Calendar"
"Ctrl+3","Switch to Contacts"
"Ctrl+4","Switch to Tasks"
"Ctrl+5","Switch to Notes"
"Ctrl+6","Switch to Folder List in Folder Pane"
"Ctrl+7","Switch to Shortcuts"
"Ctrl+PERIOD","Switch to next message (with message open"
"Ctrl+Comma","Switch to previous message (with message openCtrl+Period"
"Alt+B or Alt+Left","Go back to previous view in main window"
"Alt+Right","Go forward to next view in main window"
